bike_station_name,bike_station_lat,bike_station_lon,museum_name,museum_lat,museum_lon,distance
Pilestredet,59.9262242,10.7296246,Litteraturhuset - The House of Literature,59.920356,10.728641,654
Sofienbergparken sør,59.922337,10.7617503,Popsenteret Populærmusikkens Hus i Oslo,59.918712,10.761502,403
Filipstadveien,59.9102277,10.7208788,Bydel Tjuvholmen,59.907964,10.721633,257
Carl Berners plass nord,59.926929,10.776971,Geologisk Museum,59.921326,10.773091,649
Lille Schous plass,59.920259,10.760629,Popsenteret Populærmusikkens Hus i Oslo,59.918712,10.761502,178
Hoff terrasse holdeplass,59.92732814272898,10.675499599893328,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,358
Studenterlunden,59.914586,10.735453,"The Viking Planet Oslo: Hours, Address",59.913194,10.734102,172
Valle Vision,59.91606483663281,10.807177606311823,"Galleri Tonne, Malerikonservator",59.911235,10.806342,543
Jens Bjelkes Gate,59.91914743024347,10.76412958416006,Popsenteret Populærmusikkens Hus i Oslo,59.918712,10.761502,154
Finnmarksgata,59.922839,10.775658,Geologisk Museum,59.921326,10.773091,207
Colletts gate,59.93068679863987,10.746273349149249,Arbeidermuseet,59.931013,10.756142,556
Elisenberg,59.919524,10.70884,Frogner Manor House,59.923966,10.703607,573
Kirkegata 15,59.91015615055511,10.743456971511703,Småflaskemuseet,59.909719,10.743513,51
Thune,59.92208,10.68588,Stiftelsen Fulehuk Fyr,59.926413,10.695111,704
Carl Berners plass sør,59.92507,10.775996,Geologisk Museum,59.921326,10.773091,436
Hedmarksgata,59.91178403655783,10.783884345957915,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,760
7. juni-plassen,59.915079772688216,10.730589336669285,Ibsen Museum,59.91506,10.727104,194
Fredensborg,59.920995,10.750358,"Oslo School Museum: Address, Phone Number",59.918233,10.750294,364
Frogner Tennisklubb,59.9261831,10.7098327,Skøytemuseet,59.927064,10.709566,99
Aker Brygge 1 mot Nasjonalmuseet,59.91118372188379,10.730034556850455,Mellomstasjonen – på vei til det nye Nasjonalmuseet,59.911139,10.729684,25
Frogner plass,59.9225392,10.7045406,Frogner Manor House,59.923966,10.703607,166
Arendalsgata,59.9378,10.7541,Arbeidermuseet,59.931013,10.756142,782
Bislettgata,59.92377440938114,10.734712874574,Litteraturhuset - The House of Literature,59.920356,10.728641,508
Sjølyst,59.921673,10.67666,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,908
Vippetangen øst,59.903989,10.741077,Forsvarsmuseet,59.904487,10.740562,98
Annette Thommessens Plass,59.9107393,10.7609998,Hanen,59.9128,10.76204,236
Colletts gate 31,59.92683548000409,10.738352113653718,Litteraturhuset - The House of Literature,59.920356,10.728641,900
Fysikkbygningen,59.937957367051965,10.719488529430388,Barnekunstmuseet,59.935733,10.711642,501
Maritimt Museum,59.90294292465149,10.698048967006343,Norsk Maritimt Museum,59.902802,10.698589,45
Kirkeristen,59.91300035973293,10.746760585982289,Norsk Speidermuseum,59.913122,10.748318,100
Munkedamsveien,59.9135227,10.7301061,Stenersenmuseet,59.913384,10.729227,41
Briskeby,59.920218,10.717978,Litteraturhuset - The House of Literature,59.920356,10.728641,594
Georg Morgenstiernes hus,59.939025551395765,10.723002619643406,NRK Opplevelser,59.935664,10.728141,470
Stortingstunellen,59.91065301806209,10.737365277561024,Artgate,59.910877,10.737553,26
Adamstuen,59.932792,10.734457,NRK Opplevelser,59.935664,10.728141,474
Alexander Kiellands Plass,59.92806670615684,10.751202636819611,Arbeidermuseet,59.931013,10.756142,417
Vulkan,59.92251,10.75101,Cold ancient house,59.923851,10.75395,221
Brugata,59.91366109486603,10.75729364846211,Goethe-Institut Tysk Kultursenter,59.913431,10.760719,204
Mølleparken,59.9283928,10.7559693,Arbeidermuseet,59.931013,10.756142,272
OsloMet,59.919927,10.735428,Kulturindustri Museum,59.917676,10.736994,268
Majorstuen,59.929045,10.716926,Sporveismuseet,59.931379,10.716511,276
Riddervoldplass,59.9191421,10.7196414,Åpent Slott,59.916992,10.727689,507
Idioten,59.93102013218461,10.736036647971048,NRK Opplevelser,59.935664,10.728141,677
Frognerbadet,59.92808,10.708767,Skøytemuseet,59.927064,10.709566,121
Blindern Studenthus,59.93522040770026,10.726476622250004,NRK Opplevelser,59.935664,10.728141,104
Leirfallsgata,59.91911492385629,10.757830546598228,Schous Kulturbryggeri,59.91857,10.760894,181
Arkitekt Rivertz Plass,59.934936,10.749466,Arbeidermuseet,59.931013,10.756142,591
Marienlystparken,59.93215,10.723478,Sporveismuseet,59.931379,10.716511,404
Ila,59.931828,10.748745,Arbeidermuseet,59.931013,10.756142,432
St. Hanshaugen,59.923703,10.740542,Museum of Decorative Arts and Design (Kunstindustrimuseet) Oslo,59.918367,10.743027,608
Brynseng T-bane,59.90918420865812,10.81431433498766,"Galleri Tonne, Malerikonservator",59.911235,10.806342,506
Via Vika,59.91271286014364,10.727170827087008,PNN,59.911631,10.72742,121
Vestkanttorvet,59.9244031,10.7130691,Skøytemuseet,59.927064,10.709566,354
Friggfeltet,59.9327726,10.7114661,Barnekunstmuseum,59.935515,10.711091,299
Stensparken,59.92714,10.730981,Litteraturhuset - The House of Literature,59.920356,10.728641,765
Gaustad T-bane,59.945955,10.710392,Emanuel Vigelands Museum,59.94715320173905,10.692615509033203,998
Helga Helgesens plass,59.9121109,10.7661939,Stiftelsen Internasjonalt Kultursenter og Museum,59.913061,10.763287,180
Bak Niels Treschows hus nord,59.94278024854256,10.722993731144015,NRK Opplevelser,59.935664,10.728141,841
Majorstuveien,59.926697,10.716195,Skøytemuseet,59.927064,10.709566,371
Egertorget,59.9126744968093,10.742025127034452,Sparebankmuseet,59.910971,10.739877,216
Holbergs plass,59.9193095,10.7343051,Kulturindustri Museum,59.917676,10.736994,242
Huk 1,59.89853221724158,10.674403950323182,The Viking Ship Museum (Vikingskipshuset),59.904945,10.684408,903
Volvat,59.9330870371029,10.703967938028702,Barnekunstmuseum,59.935515,10.711091,470
Mandalls gate,59.9123469,10.7638147,Stiftelsen Internasjonalt Kultursenter og Museum,59.913061,10.763287,69
Bentsebrugata,59.93923,10.75917,Arbeidermuseet,59.931013,10.756142,946
Aker Brygge 3 mot Fergene,59.91087115068967,10.729828757277916,Mellomstasjonen – på vei til det nye Nasjonalmuseet,59.911139,10.729684,40
Chr. Michelsens Gate,59.927292,10.773185,Geologisk Museum,59.921326,10.773091,658
Nedre Slottsgate,59.913245,10.743669,Northern Lights Xperium,59.911635,10.747256,263
Professor Aschehougs plass,59.9147672,10.740971,Paradox Museum,59.914469,10.739264,100
Thomas Heftyes plass,59.91857814333677,10.703899530059402,Vigeland Museum (Vigelandmuseet),59.92294175112034,10.700055956840515,530
Fred Olsens gate,59.9110506,10.7493737,Northern Lights Xperium,59.911635,10.747256,138
Arkaden Nord,59.9121472,10.7480527,Northern Lights Xperium,59.911635,10.747256,65
Hausmanns bru,59.9146509,10.7598719,Goethe-Institut Tysk Kultursenter,59.913431,10.760719,146
Jess Carlsens gate,59.9186359,10.7523939,"Oslo School Museum: Address, Phone Number",59.918233,10.750294,159
Birkelunden,59.9256113,10.760926,Cold ancient house,59.923851,10.75395,434
Nordre gate,59.92114988507087,10.754714015938562,Cold ancient house,59.923851,10.75395,303
Sukkerbiten,59.90512438070349,10.753763553726516,Munch Museum (Munchmuseet),59.905729,10.755333,112
Ruseløkkgården,59.91357497092093,10.726229742333288,Ibsen Museum,59.91506,10.727104,172
Sotahjørnet,59.9099822,10.7914482,"Galleri Tonne, Malerikonservator",59.911235,10.806342,830
Skøyen Stasjon,59.922723981014094,10.67862514536896,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,856
Aker Brygge 2 mot Rådhusplassen,59.91111544486938,10.730396895054923,Mellomstasjonen – på vei til det nye Nasjonalmuseet,59.911139,10.729684,47
Stjerneplassen,59.91323316606503,10.749958763650312,Norsk Speidermuseum,59.913122,10.748318,79
Lodalen busstopp,59.9034528,10.777958,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,639
Spikersuppa Øst,59.91336,10.737663,Paradox Museum,59.914469,10.739264,152
Sofienbergparken nordvest,59.9243639,10.7615858,Cold ancient house,59.923851,10.75395,429
Botanisk hage sør-vest,59.91783548782385,10.766373769557958,Tøyen Hovedgård,59.918039,10.770312,237
Lilleborgbanen,59.93363159074286,10.769118139881124,Ringnes Ølsenter,59.930276,10.760755,593
Kampen park Øst,59.915182,10.782129,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,439
Schwensens gate,59.92481470756533,10.739355810852343,Museum of Decorative Arts and Design (Kunstindustrimuseet) Oslo,59.918367,10.743027,745
AHO,59.925265,10.750462,Cold ancient house,59.923851,10.75395,249
Oslo Hospital,59.90321254732584,10.7673442932541,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,376
Skippergata,59.9112227,10.7481976,Northern Lights Xperium,59.911635,10.747256,75
Henrik Wergelands allé,59.9268942,10.7207894,Sporveismuseet,59.931379,10.716511,570
Monolittveien,59.935947,10.681138,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,964
Uranienborgveien,59.9200421,10.726634,Litteraturhuset - The House of Literature,59.920356,10.728641,117
Majorstua skole,59.9294351,10.7136816,Sporveismuseet,59.931379,10.716511,274
Jernbanetorget,59.911901,10.749929,Northern Lights Xperium,59.911635,10.747256,149
Universitetsgata,59.91591543378553,10.73783499027732,Nasjonalgalleriet,59.91619,10.737609,14
Grünerhagen Nord,59.9224256,10.7554274,Cold ancient house,59.923851,10.75395,178
Biskop Gunnerus' gate,59.9123341,10.752292,Kulturetaten,59.91408,10.751037,206
Ensjøveien,59.91662195885618,10.783309055819714,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,454
Mailundveien,59.9309181,10.7728203,Ringnes Ølsenter,59.930276,10.760755,667
Bygdøy allé,59.919001,10.692321,Vigeland Museum (Vigelandmuseet),59.92294175112034,10.700055956840515,614
Nybrua holdeplass,59.916544926082935,10.757428972017069,Jødisk Museum i Oslo,59.916521,10.755344,107
Tøyenparken,59.915667,10.7775665,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,203
Torggata,59.91598309274519,10.75155119076095,Fotogalleriet,59.917434,10.750181,176
The Hub,59.91252237023375,10.750910185807754,Norsk Speidermuseum,59.913122,10.748318,145
Torshovparken vest,59.93507,10.76915,Ringnes Ølsenter,59.930276,10.760755,707
Botanisk Hage sør,59.91541769802439,10.76933022142641,Kollektiv Oslo,59.914767,10.768291,92
Bankplassen,59.908454,10.741869,Norsk Arkitekturmuseum,59.909192,10.741255,88
Ullevålsalléen,59.937913,10.73048,NRK Opplevelser,59.935664,10.728141,281
Hallénparken,59.9315302,10.762169,Ringnes Ølsenter,59.930276,10.760755,160
Henrik Ibsens gate,59.915088,10.7222803,Ibsen Museet,59.91509,10.726924,258
Uelands gate,59.929545,10.7489862,Arbeidermuseet,59.931013,10.756142,429
Grenseveien,59.92464487862039,10.781726510450724,Geologisk Museum,59.921326,10.773091,590
Marcus Thranes gate,59.93277225626508,10.758594919923468,Arbeidermuseet,59.931013,10.756142,250
Trelastgata,59.90800465532893,10.7625700380287,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,357
Colosseum Kino,59.92984300295666,10.711284727205708,Skøytemuseet,59.927064,10.709566,323
Frognerstranda,59.9103558,10.7051061,Oscarshall,59.910266,10.692245,716
Slottsparken Øst,59.917485,10.732128,Historisk museum,59.916793,10.735523,197
Edvard Storms gate,59.919111,10.736179,Kulturindustri Museum,59.917676,10.736994,168
Galgeberg,59.90707579234818,10.779164402446728,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,608
Sjøsiden 1 ved trappen,59.91014291324254,10.752003700187942,Northern Lights Xperium,59.911635,10.747256,316
Sommerfrydhagen,59.911453,10.776072,Kollektiv Oslo,59.914767,10.768291,568
Jakob kirke,59.917866,10.754898,Jødisk Museum i Oslo,59.916521,10.755344,165
Bjerregaardsgate Øst,59.92716771401357,10.749754560118864,Cold ancient house,59.923851,10.75395,436
Frognerveien,59.9170851,10.7128796,Norsk Tryllemuseum,59.911178,10.720095,638
Meltzers gate,59.9180141,10.7184345,Åpent Slott,59.916992,10.727689,527
Ensjø T-bane,59.9131891,10.7897605,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,918
Huitfeldts gate,59.9126844,10.7229003,Norsk Tryllemuseum,59.911178,10.720095,139
Frogner Stadion,59.92753764682686,10.71026280326126,Skøytemuseet,59.927064,10.709566,65
Oscars gate,59.9224222,10.7272388,Litteraturhuset - The House of Literature,59.920356,10.728641,242
Drammensveien,59.9204038,10.691147,Vigeland Museum (Vigelandmuseet),59.92294175112034,10.700055956840515,570
Stensgata,59.92958561753996,10.732839000000013,NRK Opplevelser,59.935664,10.728141,724
Pilestredet Studenthus,59.9205528,10.7342854,Litteraturhuset - The House of Literature,59.920356,10.728641,315
John Colletts plass,59.940398,10.730036,NRK Opplevelser,59.935664,10.728141,536
Blindern studentparkering,59.940873733543725,10.720778851520524,NRK Opplevelser,59.935664,10.728141,709
Sofienberggata,59.9212063,10.7699892,Geologisk museum,59.920153,10.770988,129
Arkaden Sør,59.9119691,10.7478583,Northern Lights Xperium,59.911635,10.747256,43
Tøyen skole,59.914943,10.773977,Munch Museum (Munch-Museet) Oslo,59.91706,10.775193,244
Skøyen,59.92226850808104,10.679579749668129,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,928
Jarlsborgveien,59.9304645,10.6757833,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,338
Bogstadveien,59.924732,10.724628,Litteraturhuset - The House of Literature,59.920356,10.728641,535
Olav Kyrres plass,59.9193337,10.6968953,Vigeland Museum (Vigelandmuseet),59.92294175112034,10.700055956840515,437
Huk 2,59.89843428245928,10.674398461025874,The Viking Ship Museum (Vikingskipshuset),59.904945,10.684408,912
Akerselvallmenningen,59.90725889890288,10.75488466358962,Munch Museum (Munchmuseet),59.905729,10.755333,162
Saga Kino,59.91424026794647,10.732771354719745,"The Viking Planet Oslo: Hours, Address",59.913194,10.734102,137
Vaterlandsparken,59.91351552854147,10.757334670552268,Goethe-Institut Tysk Kultursenter,59.913431,10.760719,201
Sirkustomta,59.919252,10.774712,Klimahuset,59.919461,10.772737,112
Fagerheimgata,59.92760586837719,10.76598469881135,Ringnes Ølsenter,59.930276,10.760755,405
Hesselbergs Gate,59.92777794319375,10.761256419316368,Ringnes Ølsenter,59.930276,10.760755,272
Pilestredet 63,59.9238826,10.7313627,Litteraturhuset - The House of Literature,59.920356,10.728641,420
Schous plass,59.920335,10.760804,Popsenteret Populærmusikkens Hus i Oslo,59.918712,10.761502,184
Fyrstikktorget,59.91381587564694,10.798093360118871,"Galleri Tonne, Malerikonservator",59.911235,10.806342,535
Københavngata busstopp,59.9294565845173,10.769121495700826,Ringnes Ølsenter,59.930276,10.760755,465
Jenny Braatens Plass,59.928349,10.77837,Geologisk Museum,59.921326,10.773091,824
Enerhaugen,59.91320242563816,10.767579386407874,Kollektiv Oslo,59.914767,10.768291,178
Trondheimsveien,59.9230577,10.7717192,Geologisk Museum,59.921326,10.773091,209
Gunerius,59.91459878869395,10.753398500006654,Kulturetaten,59.91408,10.751037,143
Tjuvholmen,59.909467,10.722509,Bydel Tjuvholmen,59.907964,10.721633,173
Fram-gården,59.915424,10.714577,Norsk Tryllemuseum,59.911178,10.720095,440
Over Rådhusgata,59.9101207,10.7407129,Nordisk bibelmuseum,59.910745,10.741239,75
Parkveien,59.921768,10.730476,Litteraturhuset - The House of Literature,59.920356,10.728641,187
Skovveien,59.9163309,10.716349,Norsk Tryllemuseum,59.911178,10.720095,458
Dronningens gate,59.911392299457006,10.747281829592453,Northern Lights Xperium,59.911635,10.747256,35
Rådhusgata,59.910924,10.736215,Artgate,59.910877,10.737553,74
Schives gate,59.92095635370271,10.714055629614734,Frogner Manor House,59.923966,10.703607,671
